名目年度,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Fiscal Year",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
Fiscal Year,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/4-3.,"511,958.8 ","270,953.3 ","266,250.9 ","230,797.8 ","30,816.8 ","80,484.5 ",-717.0 ,"76,328.4 ","44,955.3 ",424.7 ,"8,712.8 ","45,159.4 ","36,446.5 ",,"4,199.6 ","16,283.3 ","12,083.8 ","516,158.4 ",,"503,246.0 ","381,537.6 ","121,708.4 ",,"156,256.6 ",,"512,251.2 ",,,,,,
1995/4-3.,"525,299.5 ","276,324.8 ","271,381.7 ","234,392.6 ","29,132.9 ","85,897.5 ","1,264.9 ","79,149.3 ","47,866.8 ",273.9 ,"5,389.5 ","46,887.1 ","41,497.6 ",,"4,939.9 ","17,133.8 ","12,193.9 ","530,239.4 ",,"519,910.0 ","392,620.0 ","127,290.0 ",,"162,897.1 ",,"523,760.7 ",,,,,,
1996/4-3.,"538,659.6 ","283,765.4 ","278,702.4 ","240,049.4 ","32,971.3 ","89,692.6 ","1,539.7 ","81,806.4 ","47,087.7 ",172.9 ,"1,623.7 ","51,374.5 ","49,750.8 ",,"6,805.5 ","12,820.0 ","6,014.5 ","545,465.2 ",,"537,035.9 ","407,969.0 ","129,066.9 ",,"169,751.6 ",,"536,947.0 ",,,,,,
1997/4-3.,"542,508.0 ","284,796.5 ","279,745.5 ","239,457.9 ","27,991.0 ","91,411.1 ","3,544.9 ","83,390.8 ","44,330.4 ",214.5 ,"6,828.7 ","56,808.4 ","49,979.7 ",,"7,165.5 ","13,471.9 ","6,306.4 ","549,673.5 ",,"535,679.3 ","407,743.6 ","127,935.7 ",,"163,732.6 ",,"538,748.6 ",,,,,,
1998/4-3.,"534,564.1 ","284,701.1 ","278,920.2 ","237,596.6 ","24,626.1 ","87,008.7 ",-18.9 ,"84,466.8 ","44,386.6 ",-141.9 ,"9,535.4 ","54,129.4 ","44,593.9 ",,"6,176.8 ","11,716.4 ","5,539.6 ","540,740.9 ",,"525,028.6 ","396,317.0 ","128,711.6 ",,"156,021.5 ",,"534,724.8 ",,,,,,
1999/4-3.,"530,298.6 ","286,639.2 ","280,494.7 ","238,387.8 ","25,127.9 ","84,212.3 ","-3,124.0 ","86,155.2 ","43,523.6 ",-51.9 ,"7,816.4 ","52,827.0 ","45,010.6 ",,"6,846.1 ","10,900.5 ","4,054.3 ","537,144.8 ",,"522,482.2 ","392,855.3 ","129,626.9 ",,"152,863.7 ",,"533,474.5 ",,,,,,
2000/4-3.,"537,614.2 ","287,984.1 ","282,555.2 ","239,580.0 ","25,274.6 ","87,966.2 ",537.1 ,"89,491.2 ","40,152.8 ",-16.4 ,"6,224.7 ","56,468.4 ","50,243.7 ",,"8,230.7 ","12,371.8 ","4,141.0 ","545,844.9 ",,"531,389.5 ","401,761.9 ","129,627.6 ",,"153,393.5 ",,"537,093.6 ",,,,,,
2001/4-3.,"527,410.5 ","288,901.6 ","283,179.1 ","239,338.9 ","23,605.1 ","82,499.4 ","-1,013.3 ","92,354.3 ","37,399.0 ",-136.3 ,"3,800.8 ","53,278.8 ","49,478.0 ",,"8,226.2 ","11,943.6 ","3,717.4 ","535,636.7 ",,"523,609.7 ","393,992.8 ","129,617.0 ",,"143,503.4 ",,"528,560.1 ",,,,,,
2002/4-3.,"523,465.9 ","288,839.8 ","283,452.9 ","239,141.4 ","23,054.7 ","78,221.9 ",-955.7 ,"92,662.8 ","35,142.5 ",-81.6 ,"6,581.6 ","57,879.7 ","51,298.2 ",,"7,540.1 ","10,859.5 ","3,319.5 ","531,006.0 ",,"516,884.4 ","389,160.8 ","127,723.6 ",,"136,419.1 ",,"524,503.3 ",,,,,,
2003/4-3.,"526,219.9 ","288,061.1 ","282,306.9 ","237,324.9 ","23,155.8 ","78,796.3 ",772.6 ,"93,502.4 ","32,492.3 ",-167.1 ,"9,606.6 ","61,576.6 ","51,970.0 ",,"8,908.3 ","11,718.2 ","2,809.8 ","535,128.2 ",,"516,613.3 ","390,785.8 ","125,827.5 ",,"134,444.3 ",,"525,614.4 ",,,,,,
2004/4-3.,"529,637.9 ","289,855.0 ","284,165.7 ","238,344.1 ","23,773.0 ","81,037.9 ","1,440.4 ","93,952.3 ","30,019.5 ",133.5 ,"9,426.2 ","68,504.0 ","59,077.7 ",,"10,556.6 ","13,822.9 ","3,266.3 ","540,194.5 ",,"520,211.6 ","396,106.3 ","124,105.3 ",,"134,830.3 ",,"528,063.9 ",,,,,,
2005/4-3.,"534,106.2 ","293,091.6 ","287,210.6 ","240,501.0 ","23,895.8 ","87,009.3 ",511.4 ,"94,481.5 ","27,979.1 ",21.5 ,"7,116.1 ","76,745.9 ","69,629.7 ",,"12,879.4 ","17,381.0 ","4,501.6 ","546,985.6 ",,"526,990.1 ","404,508.0 ","122,482.0 ",,"138,884.1 ",,"533,573.4 ",,,,,,
2006/4-3.,"537,257.9 ","294,634.2 ","288,638.5 ","241,150.2 ","24,221.6 ","89,082.2 ",925.8 ,"94,097.9 ","26,544.2 ",-27.2 ,"7,779.3 ","85,966.1 ","78,186.8 ",,"15,085.4 ","21,075.7 ","5,990.3 ","552,343.3 ",,"529,478.6 ","408,863.7 ","120,614.8 ",,"139,848.0 ",,"536,359.4 ",,,,,,
2007/4-3.,"538,485.5 ","296,432.3 ","290,554.1 ","242,268.4 ","21,392.1 ","88,517.9 ","1,813.5 ","95,581.8 ","25,811.6 ",103.0 ,"8,833.3 ","94,602.0 ","85,768.8 ",,"16,573.6 ","23,391.2 ","6,817.6 ","555,059.1 ",,"529,652.2 ","408,155.8 ","121,496.4 ",,"135,721.7 ",,"536,569.0 ",,,,,,
2008/4-3.,"516,174.9 ","290,695.7 ","284,915.6 ","235,943.5 ","21,332.5 ","83,495.3 ","1,487.6 ","94,893.3 ","25,239.5 ",-22.0 ,-947.1 ,"80,651.2 ","81,598.3 ",,"12,681.6 ","18,111.6 ","5,430.0 ","528,856.5 ",,"517,121.9 ","397,011.2 ","120,110.8 ",,"130,067.3 ",,"514,709.3 ",,,,,,
2009/4-3.,"497,364.2 ","285,779.6 ","279,942.3 ","230,760.8 ","16,501.2 ","71,813.2 ","-4,580.9 ","96,075.9 ","26,722.5 ",53.7 ,"4,999.0 ","66,348.8 ","61,349.8 ",,"12,804.0 ","16,629.4 ","3,825.4 ","510,168.2 ",,"492,365.2 ","369,513.1 ","122,852.2 ",,"115,037.0 ",,"501,891.4 ",,,,,,
2010/4-3.,"504,873.7 ","286,110.2 ","280,123.8 ","230,794.1 ","17,239.7 ","72,539.8 ","1,105.8 ","97,753.9 ","24,801.8 ",-58.0 ,"5,380.5 ","76,081.6 ","70,701.1 ",,"13,787.5 ","18,014.7 ","4,227.2 ","518,661.3 ",,"499,493.3 ","376,995.5 ","122,497.7 ",,"114,581.3 ",,"503,825.9 ",,,,,,
2011/4-3.,"500,046.2 ","286,945.8 ","280,404.0 ","231,119.6 ","17,986.7 ","74,920.1 ","1,600.5 ","99,435.8 ","24,294.7 ",32.0 ,"-5,169.4 ","73,252.3 ","78,421.7 ",,"14,148.1 ","18,238.8 ","4,090.7 ","514,194.3 ",,"505,215.6 ","381,453.1 ","123,762.5 ",,"117,201.5 ",,"498,413.8 ",,,,,,
2012/4-3.,"499,420.6 ","289,477.1 ","282,596.4 ","233,136.9 ","18,680.7 ","75,794.8 ",307.2 ,"99,963.2 ","24,513.2 ",20.0 ,"-9,335.7 ","72,690.8 ","82,026.5 ",,"14,289.2 ","18,863.1 ","4,573.9 ","513,709.9 ",,"508,756.3 ","384,259.9 ","124,496.4 ",,"118,988.8 ",,"499,093.4 ",,,,,,
2013/4-3.,"512,677.5 ","298,772.1 ","291,849.3 ","242,226.7 ","20,777.5 ","80,547.3 ","-1,431.4 ","101,443.1 ","27,024.4 ",56.7 ,"-14,512.2 ","83,015.1 ","97,527.3 ",,"18,123.9 ","24,486.2 ","6,362.4 ","530,801.3 ",,"527,189.7 ","398,665.5 ","128,524.2 ",,"128,349.1 ",,"514,052.2 ",,,,,,
2014/4-3.,"523,422.8 ","297,522.6 ","291,162.6 ","241,673.0 ","19,768.3 ","83,792.6 ",217.7 ,"104,157.8 ","27,314.2 ",108.6 ,"-9,459.0 ","92,572.1 ","102,031.1 ",,"19,933.4 ","27,964.7 ","8,031.3 ","543,356.2 ",,"532,881.9 ","401,301.2 ","131,580.6 ",,"130,875.1 ",,"523,096.5 ",,,,,,
2015/4-3.,"540,740.8 ","299,840.7 ","292,823.2 ","243,503.2 ","20,396.3 ","86,962.4 ","1,402.7 ","106,285.5 ","27,021.5 ",-51.0 ,"-1,117.3 ","92,009.6 ","93,126.8 ",,"21,161.1 ","30,213.6 ","9,052.5 ","561,901.9 ",,"541,858.1 ","408,602.1 ","133,256.1 ",,"134,380.2 ",,"539,389.1 ",,,,,,
2016/4-3.,"544,829.9 ","298,336.2 ","290,944.0 ","241,894.7 ","21,251.1 ","87,000.6 ",210.2 ,"106,798.1 ","27,084.8 ",-281.3 ,"4,430.1 ","89,244.3 ","84,814.3 ",,"19,154.1 ","29,191.4 ","10,037.3 ","563,984.0 ",,"540,399.8 ","406,798.2 ","133,601.7 ",,"135,336.6 ",,"544,901.0 ",,,,,,
2017/4-3.,"555,712.5 ","303,006.0 ","295,551.3 ","246,707.1 ","21,247.5 ","90,183.4 ","1,748.2 ","107,706.7 ","27,686.9 ",89.4 ,"4,044.4 ","98,692.3 ","94,647.9 ",,"20,320.2 ","31,345.9 ","11,025.7 ","576,032.6 ",,"551,668.1 ","416,185.1 ","135,483.0 ",,"139,117.8 ",,"553,874.9 ",,,,,,
2018/4-3.,"556,570.5 ","304,774.3 ","297,991.9 ","249,308.8 ","20,538.8 ","92,385.8 ","2,212.2 ","109,089.1 ","28,390.9 ",-71.3 ,-749.2 ,"101,161.2 ","101,910.4 ",,"21,711.6 ","33,864.4 ","12,152.8 ","578,282.1 ",,"557,319.7 ","419,911.1 ","137,408.6 ",,"141,315.4 ",,"554,429.6 ",,,,,,
2019/4-3.,"556,782.9 ","303,858.8 ","296,451.0 ","247,860.3 ","21,393.2 ","91,588.7 ",883.4 ,"111,826.9 ","29,296.5 ",-5.1 ,"-2,059.5 ","95,656.1 ","97,715.6 ",,"21,889.1 ","34,363.7 ","12,474.6 ","578,672.0 ",,"558,842.4 ","417,724.1 ","141,118.3 ",,"142,278.4 ",,"555,904.6 ",,,,,,
2020/4-3.,"537,889.7 ","288,449.2 ","279,928.3 ","231,382.6 ","19,946.0 ","86,318.7 ",-952.4 ,"113,797.6 ","30,839.4 ",-101.0 ,-407.9 ,"84,403.4 ","84,811.3 ",,"19,802.6 ","30,265.5 ","10,462.8 ","557,692.3 ",,"538,297.6 ","393,761.6 ","144,536.0 ",,"137,104.1 ",,"538,943.0 ",,,,,,
2021/4-3.,"551,434.5 ","296,381.3 ","288,177.7 ","239,671.1 ","21,322.1 ","90,599.6 ","1,124.4 ","118,967.8 ","29,807.2 ",-89.6 ,"-6,678.5 ","103,818.6 ","110,497.1 ",,"29,028.5 ","41,193.9 ","12,165.4 ","580,463.0 ",,"558,113.0 ","409,427.5 ","148,685.4 ",,"141,729.0 ",,"550,399.6 ",,,,,,
2022/4-3.,"562,707.7 ","312,921.3 ","304,516.7 ","256,083.3 ","21,683.7 ","97,269.1 ","2,633.2 ","121,469.8 ","30,169.8 ",-241.7 ,"-23,197.6 ","122,794.7 ","145,992.3 ",,"35,454.4 ","51,691.6 ","16,237.2 ","598,162.1 ",,"585,905.3 ","434,507.4 ","151,397.9 ",,"149,122.7 ",,"560,316.1 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
